==============
Hey! I'm running with the CONDF trick
==============
***************************************************** phrase 2
Test Summary:
               disease       precision         recall             F1
0          Atelectasis   8.46774193548  34.4262295082  13.5922330097
1         Cardiomegaly   1.74672489083  26.6666666667  3.27868852459
2        Consolidation             0.0            0.0            0.0
3                Edema   1.55210643016           87.5  3.05010893246
4             Effusion    13.141025641  98.7951807229  23.1966053748
5            Emphysema             0.0            0.0            0.0
6             Fibrosis   1.31578947368          100.0   2.5974025974
7               Hernia             nan            0.0            0.0
8         Infiltration   20.2863961814   73.275862069  31.7757009346
9                 Mass  0.980392156863  3.57142857143  1.53846153846
10              Nodule   11.1111111111  3.33333333333  5.12820512821
11  Pleural_Thickening   3.22580645161           95.0  6.23973727422
12           Pneumonia   1.13636363636           20.0  2.15053763441
13        Pneumothorax   7.04225352113  15.1515151515  9.61538461538
