==============
Hey! I'm running with the CONDF trick
==============
***************************************************** phrase 2
Test Summary:
               disease       precision         recall             F1
0          Atelectasis   9.48717948718  60.6557377049  16.4079822616
1         Cardiomegaly   1.82926829268           20.0  3.35195530726
2        Consolidation   5.24590163934  44.4444444444  9.38416422287
3                Edema   1.39664804469           62.5  2.73224043716
4             Effusion             nan            0.0            0.0
5            Emphysema  0.934579439252  11.1111111111  1.72413793103
6             Fibrosis   1.73010380623           62.5    3.367003367
7               Hernia             0.0            0.0            0.0
8         Infiltration   16.1616161616  13.7931034483  14.8837209302
9                 Mass   3.40136054422  35.7142857143  6.21118012422
10              Nodule             nan            0.0            0.0
11  Pleural_Thickening   3.07692307692           40.0  5.71428571429
12           Pneumonia   1.31086142322           70.0  2.57352941176
13        Pneumothorax             nan            0.0            0.0
